"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3";"Connector_Molex_PicoBlade_53047-0210";1;"TAMPER CONNECTOR";;;
2;"C1,C20";"C_0402";2;"68p";;;
3;"C5,C19";"C_0402";2;"1p";;;
4;"C6";"C_0402";1;"1u";;;
5;"C7";"C_0603";1;"2u2";;;
6;"C8,C15,C17,C26";"C_0402";4;"100n";;;
7;"C9";"C_0402";1;"3p9";;;
8;"C10";"C_0402";1;"33p";;;
9;"C11";"C_0402";1;"100p";;;
10;"C12";"C_0402";1;"39p";;;
11;"C13";"C_0402";1;"3p3";;;
12;"C14";"C_0402";1;"6p";;;
13;"C16,C22";"C_0805";2;"47u/50V";;;
14;"C18";"C_0402";1;"6p8";;;
15;"C24,C27";"C_0402";2;"4p7";;;
16;"C28,C29";"C_0402";2;"56p";;;
17;"C34";"C_0402";1;"2n2";;;
18;"DL1";"LED_0805";1;"LEDR-LHN974";;;
19;"L11";"L_0402";1;"5n6";;;
20;"Q1";"SC-70";1;"Q_NMOS_DGS";;;
21;"QZ1";"Crystal_SMD_2520-4pin_2.5x2.0mm";1;"30MHz";;;
22;"QZ3";"Crystal_SMD_3215-2pin_3.2x1.5mm";1;"32KHz";;;
23;"R1";"R_0402";1;"50";;;
24;"R2,R3";"R_0402";2;"1k";;;
25;"R4";"R_0402";1;"2,2M";;;
26;"R9";"R_0402";1;"47K";;;
27;"R10";"R_0402";1;"470";;;
28;"R15,R32,R5";"R_0402";3;"0";;;
29;"U1";"QFN-20-1EP_4x4mm_Pitch0.5mm";1;"SI4432B";;;
30;"U2";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"MSP430G2433IRHN32";;;
31;"P2";"3v6_saft_battery_holder";1;"JBAT";;;
32;"CN3";"strip_pad_x8";1;"STRIP Prog.";;;
33;"HOLE_3mm";"HOLE_3mm";1;"VAL**";;;
34;"P1";"Connector_Molex_PicoBlade_53047-0410";1;"SERIAL CONNECTOR";;;
35;"ANT1";"antenna_Johanson";1;"Antenna Johanson";;;
36;"L2";"L_0402";1;"11n";;;
37;"U5";"SOT-363_SC-70-6";1;"UPG2214TB";;;
38;"L4,L5";"L_0402";2;"15n";;;
39;"L1";"L_0402";1;"120n";;;
40;"L3";"L_0402";1;"9n";;;
41;"C4";"C_0603";1;"10u";;;
42;"C2";"C_0603";1;"4u7";;;
