References,Value,Footprint,Quantity Per PCB,Saet_code
ANT1,Antenna Johanson,antenna_Johanson,1,US5602
C8 C15 C17 C26,100n,C_0402,4,CSA104 EXT
C11,100p,C_0402,1,CSA101 EXT
C4,10u,C_0603,1,CS1106 EXT
C5 C19,1p,C_0402,2,CSA1P0 EXT
C6,1u,C_0402,1,CSA105 EXT
C34,2n2,C_0402,1,CSA222 EXT
C7,2u2,C_0603,1,CS1225 EXT
C10,33p,C_0402,1,CSA330 EXT
C12,39p,C_0402,1,CSA390 EXT
C13,3p3,C_0402,1,CSA3P3 EXT
C9,3p9,C_0402,1,CSA3P9 EXT
C16 C22,47u/50V,C_0805,2,CS2476
C24 C27,4p7,C_0402,2,CSA4P7 EXT CSA1P0 EXT
C2,4u7,C_0603,1,CS1475 EXT
C28 C29,56p,C_0402,2,CSA560 EXT
C1 C20,68p,C_0402,2,CSA680 EXT
C14,6p,C_0402,1,CSA6P0 EXT
C18,6p8,C_0402,1,CSA6P8 EXT
CN3,STRIP Prog.,strip_pad_x8,1,
DL1,LEDR-LHN974,LED_0805,1,LE7011
L2,11n,L_0402,1,TB3102 EXT
L1,120n,L_0402,1,TB3103 EXT
L4 L5,15n,L_0402,2,TB3104 EXT
L11,5n6,L_0402,1,TB3106 EXT
L3,9n,L_0402,1,TB3105 EXT
P2,JBAT,3v6_saft_battery_holder,1,WK1011
P1,SERIAL CONNECTOR,Connector_Molex_PicoBlade_53047-0410,1,
P3,-,-,0,NON MONTATO
Q1,Q_NMOS_DGS,SC-70,1,QT3134
QZ1,30MHz,Crystal_SMD_2520-4pin_2.5x2.0mm,1,YQ0306S
QZ3,32KHz,Crystal_SMD_3215-2pin_3.2x1.5mm,1,YQ0323AS
R15 R32,0,R_0402,2,RSA000 EXT
R5,-,-,0,NON MONTATO
R2 R3,1k,R_0402,2,RSA102 EXT
R4,"2,2M",R_0402,1,RSA103 EXT
R10,470,R_0402,1,RSA471 EXT
R9,47K,R_0402,1,RSA473 EXT
R1,50,R_0402,1,RSA500 EXT
U2,MSP430G2433IRHN32,QFN-32-1EP_5x5mm_Pitch0.5mm,1,IU1164
U1,SI4432B,QFN-20-1EP_4x4mm_Pitch0.5mm,1,IU1162S
U5,UPG2214TB,SOT-363_SC-70-6,1,IL1196S
