References,Value,Footprint,Quantity Per PCB,NOT_MOUNT,Saet_code
BT1,Battery,BatteryHolderCR2032,1,X,
C6,0.33F,SUPER_CAP,1,,CV1476
C1 C4 C5 C7 C13,100n,C_0603,5,,
C11,10p,C_0603,1,,
C2 C3,12p,C_0603,2,,
C8 C9 C18,22u/20V,TantalC_SizeC_EIA-6032_Wave,3,,CV0226
C10 C17,470n,C_0603,2,,
C12,470p,C_0603,1,,
COM_A1 COM_B1,WURTH_90,Wurth_90_deg_2ways,2,,WK2320
D5 D6,B360A,SMA_Standard,2,,DSB360A
D1 D2 D3,LED_R_0603,LED-0603_handSoldering,3,,LE7010
D4 D7,PMEG4005AEA,SOD-323,2,,DSG4005
HL1 HL2,Hole,HOLE_3.2,2,,
IC1,SN65HVD11D,SOIC-8,1,,IL1138
JP1,JUMPER,Pin_Header_Straight_1x02,1,,
L1 L2,INDUCTOR_3.3uH,IND_7.5x7.5,2,,TB3020
P4,CONN_01X02,Adimpex_3.5_2_ways,1,X,
P2,CONN_01X04,Pin_Header_Straight_1x04,1,X,
P3,CONN_02X20,Pin_Header_Straight_2x20,1,,
P5,TAMPER CONN,Adimpex_3.5_2_ways,1,,
Q1 Q2 Q3 Q4,RJU003N,SOT-323_inv,4,,QT3134
R1 R5,0,R_0603,2,X,
R9 R10,10,R_0603,2,,
R2 R4,10k,R_0603,2,,
R12,120,R_0603,1,,
R3 R7 R11,1k,R_0603,3,,
R19,30.1k,R_0603,1,,
R16 R18,40.2k,R_0603,2,,
R6 R8 R13,510,R_0603,3,,
R17,7.68k,R_0603,1,,
SW1,Switch,Switch_DTSM_6_Series,1,,
U2,ATECC508a,SOIC-8,1,,
U1,DS1302S,SOIJ-8_5.3x5.3mm_Pitch1.27mm,1,,IT001
U3,LT3501,SSOP-20_TP_4.4x6.5mm_Pitch0.65mm,1,,IL1186
X1,JXS_32k,JXS_3.2mm_1.5mm,1,,YQ1323B
